item_id,version_no,category_key,parent_id,parent_version,parent_category
512,2,Geog/LA,596,1,Geog/ITL1
514,2,Geog/LA,596,1,Geog/ITL1
516,2,Geog/LA,596,1,Geog/ITL1
518,2,Geog/LA,596,1,Geog/ITL1
520,2,Geog/LA,596,1,Geog/ITL1
522,2,Geog/LA,596,1,Geog/ITL1
524,2,Geog/LA,596,1,Geog/ITL1
526,2,Geog/LA,596,1,Geog/ITL1
528,2,Geog/LA,596,1,Geog/ITL1
530,2,Geog/LA,596,1,Geog/ITL1
532,2,Geog/LA,596,1,Geog/ITL1
534,2,Geog/LA,596,1,Geog/ITL1
536,2,Geog/LA,596,1,Geog/ITL1
538,2,Geog/LA,596,1,Geog/ITL1
540,2,Geog/LA,596,1,Geog/ITL1
542,2,Geog/LA,596,1,Geog/ITL1
544,2,Geog/LA,596,1,Geog/ITL1
545,2,Geog/LA,596,1,Geog/ITL1
546,2,Geog/LA,596,1,Geog/ITL1
548,2,Geog/LA,596,1,Geog/ITL1
550,2,Geog/LA,596,1,Geog/ITL1
552,2,Geog/LA,596,1,Geog/ITL1
512,2,Geog/LA,agriNW,1,Geog/AgriReg
514,2,Geog/LA,agriNW,1,Geog/AgriReg
516,2,Geog/LA,agriNE,1,Geog/AgriReg
518,2,Geog/LA,agriNE,1,Geog/AgriReg
520,2,Geog/LA,agriNE,1,Geog/AgriReg
522,2,Geog/LA,agriNE,1,Geog/AgriReg
524,2,Geog/LA,agri524,1,Geog/AgriReg
526,2,Geog/LA,agri526,1,Geog/AgriReg
528,2,Geog/LA,agri528,1,Geog/AgriReg
530,2,Geog/LA,agri530,1,Geog/AgriReg
532,2,Geog/LA,agriSW,1,Geog/AgriReg
534,2,Geog/LA,agriSW,1,Geog/AgriReg
536,2,Geog/LA,agriSW,1,Geog/AgriReg
538,2,Geog/LA,agriSW,1,Geog/AgriReg
540,2,Geog/LA,agriSW,1,Geog/AgriReg
542,2,Geog/LA,agriSW,1,Geog/AgriReg
544,2,Geog/LA,agriSW,1,Geog/AgriReg
545,2,Geog/LA,agriSW,1,Geog/AgriReg
546,2,Geog/LA,agriSW,1,Geog/AgriReg
548,2,Geog/LA,agriSW,1,Geog/AgriReg
550,2,Geog/LA,agriSW,1,Geog/AgriReg
552,2,Geog/LA,agriSW,1,Geog/AgriReg
512,2,Geog/LA,NWEAB,1,Geog/CityReg
514,2,Geog/LA,NWEAB,1,Geog/CityReg
516,2,Geog/LA,NWEAB,1,Geog/CityReg
518,2,Geog/LA,NWEAB,1,Geog/CityReg
520,2,Geog/LA,NWEAB,1,Geog/CityReg
522,2,Geog/LA,NWEAB,1,Geog/CityReg
524,2,Geog/LA,GMWP,1,Geog/CityReg
526,2,Geog/LA,GMWP,1,Geog/CityReg
528,2,Geog/LA,SBCR,1,Geog/CityReg
530,2,Geog/LA,SBCR,1,Geog/CityReg
532,2,Geog/LA,SBCR,1,Geog/CityReg
534,2,Geog/LA,SBCR,1,Geog/CityReg
536,2,Geog/LA,CCR,1,Geog/CityReg
538,2,Geog/LA,CCR,1,Geog/CityReg
540,2,Geog/LA,CCR,1,Geog/CityReg
542,2,Geog/LA,CCR,1,Geog/CityReg
544,2,Geog/LA,CCR,1,Geog/CityReg
545,2,Geog/LA,CCR,1,Geog/CityReg
546,2,Geog/LA,CCR,1,Geog/CityReg
548,2,Geog/LA,CCR,1,Geog/CityReg
550,2,Geog/LA,CCR,1,Geog/CityReg
552,2,Geog/LA,CCR,1,Geog/CityReg
512,2,Geog/LA,W19000001,1,Geog/EconArea
514,2,Geog/LA,W19000001,1,Geog/EconArea
516,2,Geog/LA,W19000001,1,Geog/EconArea
518,2,Geog/LA,W19000001,1,Geog/EconArea
520,2,Geog/LA,W19000001,1,Geog/EconArea
522,2,Geog/LA,W19000001,1,Geog/EconArea
524,2,Geog/LA,W19000002,1,Geog/EconArea
526,2,Geog/LA,W19000002,1,Geog/EconArea
528,2,Geog/LA,W19000002,1,Geog/EconArea
530,2,Geog/LA,W19000002,1,Geog/EconArea
532,2,Geog/LA,W19000004,1,Geog/EconArea
534,2,Geog/LA,W19000004,1,Geog/EconArea
536,2,Geog/LA,W19000004,1,Geog/EconArea
538,2,Geog/LA,W19000004,1,Geog/EconArea
540,2,Geog/LA,W19000004,1,Geog/EconArea
542,2,Geog/LA,W19000003,1,Geog/EconArea
544,2,Geog/LA,W19000003,1,Geog/EconArea
545,2,Geog/LA,W19000003,1,Geog/EconArea
546,2,Geog/LA,W19000003,1,Geog/EconArea
548,2,Geog/LA,W19000003,1,Geog/EconArea
550,2,Geog/LA,W19000003,1,Geog/EconArea
552,2,Geog/LA,W19000003,1,Geog/EconArea
512,2,Geog/LA,W16000001,1,Geog/EducCons
514,2,Geog/LA,W16000001,1,Geog/EducCons
516,2,Geog/LA,W16000001,1,Geog/EducCons
518,2,Geog/LA,W16000001,1,Geog/EducCons
520,2,Geog/LA,W16000001,1,Geog/EducCons
522,2,Geog/LA,W16000001,1,Geog/EducCons
524,2,Geog/LA,W16000002,1,Geog/EducCons
526,2,Geog/LA,W16000002,1,Geog/EducCons
528,2,Geog/LA,W16000002,1,Geog/EducCons
530,2,Geog/LA,W16000002,1,Geog/EducCons
532,2,Geog/LA,W16000002,1,Geog/EducCons
534,2,Geog/LA,W16000002,1,Geog/EducCons
536,2,Geog/LA,W16000003,1,Geog/EducCons
538,2,Geog/LA,W16000003,1,Geog/EducCons
540,2,Geog/LA,W16000003,1,Geog/EducCons
542,2,Geog/LA,W16000003,1,Geog/EducCons
544,2,Geog/LA,W16000003,1,Geog/EducCons
545,2,Geog/LA,W16000004,1,Geog/EducCons
546,2,Geog/LA,W16000004,1,Geog/EducCons
548,2,Geog/LA,W16000004,1,Geog/EducCons
550,2,Geog/LA,W16000004,1,Geog/EducCons
552,2,Geog/LA,W16000004,1,Geog/EducCons
512,2,Geog/LA,574,1,Geog/FireAuth
514,2,Geog/LA,574,1,Geog/FireAuth
516,2,Geog/LA,574,1,Geog/FireAuth
518,2,Geog/LA,574,1,Geog/FireAuth
520,2,Geog/LA,574,1,Geog/FireAuth
522,2,Geog/LA,574,1,Geog/FireAuth
524,2,Geog/LA,572,1,Geog/FireAuth
526,2,Geog/LA,572,1,Geog/FireAuth
528,2,Geog/LA,572,1,Geog/FireAuth
530,2,Geog/LA,572,1,Geog/FireAuth
532,2,Geog/LA,572,1,Geog/FireAuth
534,2,Geog/LA,572,1,Geog/FireAuth
536,2,Geog/LA,576,1,Geog/FireAuth
538,2,Geog/LA,576,1,Geog/FireAuth
540,2,Geog/LA,576,1,Geog/FireAuth
542,2,Geog/LA,576,1,Geog/FireAuth
544,2,Geog/LA,576,1,Geog/FireAuth
545,2,Geog/LA,576,1,Geog/FireAuth
546,2,Geog/LA,576,1,Geog/FireAuth
548,2,Geog/LA,576,1,Geog/FireAuth
550,2,Geog/LA,576,1,Geog/FireAuth
552,2,Geog/LA,576,1,Geog/FireAuth
512,2,Geog/LA,7A1,1,Geog/LHB
514,2,Geog/LA,7A1,1,Geog/LHB
516,2,Geog/LA,7A1,1,Geog/LHB
518,2,Geog/LA,7A1,1,Geog/LHB
520,2,Geog/LA,7A1,1,Geog/LHB
522,2,Geog/LA,7A1,1,Geog/LHB
524,2,Geog/LA,7A7,1,Geog/LHB
526,2,Geog/LA,7A2,1,Geog/LHB
528,2,Geog/LA,7A2,1,Geog/LHB
530,2,Geog/LA,7A2,1,Geog/LHB
532,2,Geog/LA,7A3x,1,Geog/LHB
534,2,Geog/LA,7A3x,1,Geog/LHB
536,2,Geog/LA,7A3x,1,Geog/LHB
538,2,Geog/LA,7A4,1,Geog/LHB
540,2,Geog/LA,7A5x,1,Geog/LHB
542,2,Geog/LA,7A5x,1,Geog/LHB
544,2,Geog/LA,7A6,1,Geog/LHB
545,2,Geog/LA,7A6,1,Geog/LHB
546,2,Geog/LA,7A6,1,Geog/LHB
548,2,Geog/LA,7A6,1,Geog/LHB
550,2,Geog/LA,7A6,1,Geog/LHB
552,2,Geog/LA,7A4,1,Geog/LHB
532,2,Geog/LA,7A3,1,Geog/LHB
534,2,Geog/LA,7A3,1,Geog/LHB
536,2,Geog/LA,7A5,1,Geog/LHB
540,2,Geog/LA,7A5,1,Geog/LHB
542,2,Geog/LA,7A5,1,Geog/LHB
512,2,Geog/LA,566,1,Geog/PolAuth
514,2,Geog/LA,566,1,Geog/PolAuth
516,2,Geog/LA,566,1,Geog/PolAuth
518,2,Geog/LA,566,1,Geog/PolAuth
520,2,Geog/LA,566,1,Geog/PolAuth
522,2,Geog/LA,566,1,Geog/PolAuth
524,2,Geog/LA,562,1,Geog/PolAuth
526,2,Geog/LA,562,1,Geog/PolAuth
528,2,Geog/LA,562,1,Geog/PolAuth
530,2,Geog/LA,562,1,Geog/PolAuth
532,2,Geog/LA,568,1,Geog/PolAuth
534,2,Geog/LA,568,1,Geog/PolAuth
536,2,Geog/LA,568,1,Geog/PolAuth
538,2,Geog/LA,568,1,Geog/PolAuth
540,2,Geog/LA,568,1,Geog/PolAuth
542,2,Geog/LA,568,1,Geog/PolAuth
544,2,Geog/LA,564,1,Geog/PolAuth
545,2,Geog/LA,564,1,Geog/PolAuth
546,2,Geog/LA,564,1,Geog/PolAuth
548,2,Geog/LA,564,1,Geog/PolAuth
550,2,Geog/LA,564,1,Geog/PolAuth
552,2,Geog/LA,568,1,Geog/PolAuth
596,2,Geog/ITL1,K02000001,1,Geog/UK