item,hierarchy,lang,description,notes
1,12,en-gb,Pedestrians,
10,12,en-gb,Light vans or goods vehicles,
11,12,en-gb,Other road users,
12,,en-gb,All road users,
2,12,en-gb,Pedal cyclists,
3,12,en-gb,Motorcyclists,
4,12,en-gb,Taxis or private hire vehicles,
5,12,en-gb,Cars,
6,12,en-gb,Bus or coach or minibus,
7,12,en-gb,Ridden horse,
8,12,en-gb,Agricultural vehicles,
9,12,en-gb,Tram or light rail,
1,12,en-cy,Cerddwyr,
10,12,en-cy,Faniau Ysgafn neu Gerbydau Nwyddau,
11,12,en-cy,Defnyddwyr eraill y ffordd,
12,,en-cy,Holl ddefnyddwyr y ffordd,
2,12,en-cy,Beicwyr pedal,
3,12,en-cy,Motorbeicwyr,
4,12,en-cy,Tacsis neu Cerbydau Hurio Preifat,
5,12,en-cy,Defnyddwyr Ceir,
6,12,en-cy,"Bysiau Mini, Bysiau neu Coetsys",
7,12,en-cy,Ceffylau Marchogaeth,
8,12,en-cy,Cerbydau Amaethyddol,
9,12,en-cy,Tramiau neu Reilffordd Ysgafn,