item,hierarchy,sort_order,description_cy,description_en,notes_cy,notes_en
1993_1,1993_5,,Ionawr i Mawrth,January to March,,
1993_2,1993_5,,Ebrill i Mehefin,April to June,,
1993_3,1993_5,,Gorffennaf i Medi,July to September,,
1993_4,1993_5,,Hydref i Rhagfyr,October to December,,
1993_5,,,1993,1993,,
1994_1,1994_5,,Ionawr i Mawrth,January to March,,
1994_2,1994_5,,Ebrill i Mehefin,April to June,,
1994_3,1994_5,,Gorffennaf i Medi,July to September,,
1994_4,1994_5,,Hydref i Rhagfyr,October to December,,
1994_5,,,1994,1994,,
1995_1,1995_5,,Ionawr i Mawrth,January to March,,
1995_2,1995_5,,Ebrill i Mehefin,April to June,,
1995_3,1995_5,,Gorffennaf i Medi,July to September,,
1995_4,1995_5,,Hydref i Rhagfyr,October to December,,
1995_5,,,1995,1995,,
1996_1,1996_5,,Ionawr i Mawrth,January to March,,
1996_2,1996_5,,Ebrill i Mehefin,April to June,,
1996_3,1996_5,,Gorffennaf i Medi,July to September,,
1996_4,1996_5,,Hydref i Rhagfyr,October to December,,
1996_5,,,1996,1996,,
1997_1,1997_5,,Ionawr i Mawrth,January to March,,
1997_2,1997_5,,Ebrill i Mehefin,April to June,,
1997_3,1997_5,,Gorffennaf i Medi,July to September,,
1997_4,1997_5,,Hydref i Rhagfyr,October to December,,
1997_5,,,1997,1997,,
1998_1,1998_5,,Ionawr i Mawrth,January to March,,
1998_2,1998_5,,Ebrill i Mehefin,April to June,,
1998_3,1998_5,,Gorffennaf i Medi,July to September,,
1998_4,1998_5,,Hydref i Rhagfyr,October to December,,
1998_5,,,1998,1998,,
1999_1,1999_5,,Ionawr i Mawrth,January to March,,
1999_2,1999_5,,Ebrill i Mehefin,April to June,,
1999_3,1999_5,,Gorffennaf i Medi,July to September,,
1999_4,1999_5,,Hydref i Rhagfyr,October to December,,
1999_5,,,1999,1999,,
2000_1,2000_5,,Ionawr i Mawrth,January to March,,
2000_2,2000_5,,Ebrill i Mehefin,April to June,,
2000_3,2000_5,,Gorffennaf i Medi,July to September,,
2000_4,2000_5,,Hydref i Rhagfyr,October to December,,
2000_5,,,2000,2000,,
2001_1,2001_5,,Ionawr i Mawrth,January to March,,
2001_2,2001_5,,Ebrill i Mehefin,April to June,,
2001_3,2001_5,,Gorffennaf i Medi,July to September,,
2001_4,2001_5,,Hydref i Rhagfyr,October to December,,
2001_5,,,2001,2001,,
2002_1,2002_5,,Ionawr i Mawrth,January to March,,
2002_2,2002_5,,Ebrill i Mehefin,April to June,,
2002_3,2002_5,,Gorffennaf i Medi,July to September,,
2002_4,2002_5,,Hydref i Rhagfyr,October to December,,
2002_5,,,2002,2002,,
2003_1,2003_5,,Ionawr i Mawrth,January to March,,
2003_2,2003_5,,Ebrill i Mehefin,April to June,,
2003_3,2003_5,,Gorffennaf i Medi,July to September,,
2003_4,2003_5,,Hydref i Rhagfyr,October to December,,
2003_5,,,2003,2003,,
2004_1,2004_5,,Ionawr i Mawrth,January to March,,
2004_2,2004_5,,Ebrill i Mehefin,April to June,,
2004_3,2004_5,,Gorffennaf i Medi,July to September,,
2004_4,2004_5,,Hydref i Rhagfyr,October to December,,
2004_5,,,2004,2004,,
2005_1,2005_5,,Ionawr i Mawrth,January to March,,
2005_2,2005_5,,Ebrill i Mehefin,April to June,,
2005_3,2005_5,,Gorffennaf i Medi,July to September,,
2005_4,2005_5,,Hydref i Rhagfyr,October to December,,
2005_5,,,2005,2005,,
2006_1,2006_5,,Ionawr i Mawrth,January to March,,
2006_2,2006_5,,Ebrill i Mehefin,April to June,,
2006_3,2006_5,,Gorffennaf i Medi,July to September,,
2006_4,2006_5,,Hydref i Rhagfyr,October to December,,
2006_5,,,2006,2006,,
2007_1,2007_5,,Ionawr i Mawrth,January to March,,
2007_2,2007_5,,Ebrill i Mehefin,April to June,,
2007_3,2007_5,,Gorffennaf i Medi,July to September,,
2007_4,2007_5,,Hydref i Rhagfyr,October to December,,
2007_5,,,2007,2007,,
2008_1,2008_5,,Ionawr i Mawrth,January to March,,
2008_2,2008_5,,Ebrill i Mehefin,April to June,,
2008_3,2008_5,,Gorffennaf i Medi,July to September,,
2008_4,2008_5,,Hydref i Rhagfyr,October to December,,
2008_5,,,2008,2008,,
2009_1,2009_5,,Ionawr i Mawrth,January to March,,
2009_2,2009_5,,Ebrill i Mehefin,April to June,,
2009_3,2009_5,,Gorffennaf i Medi,July to September,,
2009_4,2009_5,,Hydref i Rhagfyr,October to December,,
2009_5,,,2009,2009,,
2010_1,2010_5,,Ionawr i Mawrth,January to March,,
2010_2,2010_5,,Ebrill i Mehefin,April to June,,
2010_3,2010_5,,Gorffennaf i Medi,July to September,,
2010_4,2010_5,,Hydref i Rhagfyr,October to December,,
2010_5,,,2010,2010,,
2011_1,2011_5,,Ionawr i Mawrth,January to March,,
2011_2,2011_5,,Ebrill i Mehefin,April to June,,
2011_3,2011_5,,Gorffennaf i Medi,July to September,,
2011_4,2011_5,,Hydref i Rhagfyr,October to December,,
2011_5,,,2011,2011,,
2012_1,2012_5,,Ionawr i Mawrth,January to March,,
2012_2,2012_5,,Ebrill i Mehefin,April to June,,
2012_3,2012_5,,Gorffennaf i Medi,July to September,,
2012_4,2012_5,,Hydref i Rhagfyr,October to December,,
2012_5,,,2012,2012,,
2013_1,2013_5,,Ionawr i Mawrth,January to March,,
2013_2,2013_5,,Ebrill i Mehefin,April to June,,
2013_3,2013_5,,Gorffennaf i Medi,July to September,,
2013_4,2013_5,,Hydref i Rhagfyr,October to December,,
2013_5,,,2013,2013,,
2014_1,2014_5,,Ionawr i Mawrth,January to March,,
2014_2,2014_5,,Ebrill i Mehefin,April to June,,
2014_3,2014_5,,Gorffennaf i Medi,July to September,,
2014_4,2014_5,,Hydref i Rhagfyr,October to December,,
2014_5,,,2014,2014,,
