item_id,alternate_id
596,W92000004
512,W06000001
514,W06000002
516,W06000003
518,W06000004
520,W06000005
522,W06000006
524,W06000023
526,W06000008
528,W06000009
530,W06000010
532,W06000011
534,W06000012
536,W06000013
538,W06000014
540,W06000016
542,W06000024
544,W06000018
545,W06000019
546,W06000020
548,W06000021
550,W06000022
552,W06000015
7A1,W11000023
7A7,W11000024
7A2,W11000025
7A3x,W11000026
7A5x,W11000027
7A6,W11000028
7A4,W11000029
7A3,W11000031
7A5,W11000030
456,W09000034
447,W09000025
448,W09000026
450,W10000008
451,W09000044
452,W09000035
453,W09000036
445,W09000029
455,W09000037
457,W09000040
458,W09000039
410,W10000001
411,W09000001
412,W09000002
413,W09000003
414,W09000004
454,W09000038
440,W10000007
434,W09000021
435,W09000022
446,W09000046
437,W09000045
441,W09000047
442,W09000043
443,W09000031
444,W09000042
419,W09000009
415,W09000005
436,W09000023
417,W09000007
427,W09000015
418,W09000008
420,W10000006
421,W09000010
422,W09000011
423,W09000041
424,W09000012
426,W09000016
428,W09000017
430,W10000009
431,W09000018
432,W09000019
433,W09000020
416,W09000006
425,W09000014
582,W18000001
584,W18000002
586,W18000003
562,W15000004
564,W15000002
566,W15000001
568,W15000003
572,W25000002
574,W25000001
576,W25000003
562,W15000004
564,W15000002
566,W15000001
568,W15000003
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,W25000002
,W25000001
,W25000003
,W06000001
,W06000002
,W06000003
,W06000004
,W06000005
,W06000006
,W06000023
,W06000008
,W06000009
,W06000010
,W06000011
,W06000012
,W06000013
,W06000014
,W06000016
,W06000024
,W06000018
,W06000019
,W06000020
,W06000021
,W06000022
,W06000015
,W06000001i
,W06000002i
,W06000003i
,W06000004i
,W06000005i
,W06000006i
,W06000023i
,W06000008i
,W06000009i
,W06000010i
,W06000011i
,W06000012i
,W06000013i
,W06000014i
,W06000016i
,W06000024i
,W06000018i
,W06000019i
,W06000020i
,W06000021i
,W06000022i
,W06000015i
,W06000001o
,W06000002o
,W06000003o
,W06000004o
,W06000005o
,W06000006o
,W06000023o
,W06000008o
,W06000009o
,W06000010o
,W06000011o
,W06000012o
,W06000013o
,W06000014o
,W06000016o
,W06000024o
,W06000018o
,W06000019o
,W06000020o
,W06000021o
,W06000022o
,W06000015o
,W11000023
,W11000024
,W11000025
,W11000026
,W11000027
,W11000028
,W11000029
,W11000031
,W11000030
,W18000001
,W18000002
,W18000003
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,W15000004
,W15000002
,W15000001
,W15000003
,W09000034
,W09000025
,W09000026
,W09000044
,W09000035
,W09000036
,W09000029
,W09000037
,W09000040
,W09000039
,W09000001
,W09000002
,W09000003
,W09000004
,W09000038
,W09000021
,W09000022
,W09000046
,W09000045
,W09000047
,W09000043
,W09000031
,W09000042
,W09000009
,W09000005
,W09000023
,W09000007
,W09000015
,W09000008
,W09000010
,W09000011
,W09000041
,W09000012
,W09000016
,W09000017
,W09000018
,W09000019
,W09000020
,W09000006
,W09000014
,W10000008
,W10000001
,W10000007
,W10000006
,W10000009
,
,W92000004
,
,
,
,W09000034
,W09000025
,W09000026
,W09000044
,W09000035
,W09000036
,W09000029
,W09000037
,W09000040
,W09000039
,W09000001
,W09000002
,W09000003
,W09000004
,W09000038
,W09000021
,W09000022
,W09000046
,W09000045
,W09000047
,W09000043
,W09000031
,W09000042
,W09000009
,W09000005
,W09000023
,W09000007
,W09000015
,W09000008
,W09000010
,W09000011
,W09000041
,W09000012
,W09000016
,W09000017
,W09000018
,W09000019
,W09000020
,W09000006
,W09000014
